Student_ID,Debtor,Tuition fees up to date,1st_sem_enrolled,1st_sem_evaluations,1st_sem_approved,1st_sem_grade,1st_sem_without_evaluations,1st_sem_failed,1st_sem_pass_rate,2nd_sem_enrolled,2nd_sem_evaluations,2nd_sem_approved,2nd_sem_grade,2nd_sem_without_evaluations,2nd_sem_failed,2nd_sem_pass_rate,total_failed,avg_grade,WarningLevel
40,0,1,6,6,5,6.4,0,1,0.8333,5,5,4,7.48,0,1,0.8,2,6.94,LOW
41,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,HIGH
42,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,HIGH
43,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,HIGH
44,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,HIGH
45,0,1,6,6,6,9.6,0,0,1.0,7,7,6,8.53,0,1,0.8571,1,9.06,LOW
46,0,1,5,4,0,0.0,1,4,0.0,5,4,1,4.58,1,3,0.25,7,2.29,HIGH
47,0,1,7,7,6,8.8,0,1,0.8571,6,6,5,9.93,0,1,0.8333,2,9.37,LOW
48,1,1,5,5,4,6.34,0,1,0.8,6,6,4,7.13,0,2,0.6667,3,6.73,MEDIUM
49,1,1,7,5,0,0.0,2,5,0.0,6,4,0,0.0,2,4,0.0,9,0.0,HIGH
50,0,1,6,6,5,9.04,0,1,0.8333,7,7,6,8.73,0,1,0.8571,2,8.88,LOW
51,0,1,7,7,7,9.25,0,0,1.0,7,7,6,9.44,0,1,0.8571,1,9.34,LOW
52,0,0,6,5,5,6.56,1,0,1.0,5,5,4,7.26,0,1,0.8,1,6.91,MEDIUM
53,0,1,6,4,0,0.0,2,4,0.0,6,5,1,4.82,1,4,0.2,8,2.41,HIGH
54,1,1,7,6,6,6.32,1,0,1.0,5,4,4,7.26,1,0,1.0,0,6.79,MEDIUM
55,0,1,5,5,5,8.45,0,0,1.0,5,5,4,8.05,0,1,0.8,1,8.25,LOW
56,0,1,6,6,5,8.91,0,1,0.8333,7,7,6,9.44,0,1,0.8571,2,9.18,LOW
57,1,1,5,5,3,7.48,0,2,0.6,5,5,5,6.98,0,0,1.0,2,7.23,MEDIUM
58,0,0,5,4,4,7.01,1,0,1.0,7,6,5,7.16,1,1,0.8333,1,7.08,LOW
59,1,0,7,6,3,4.49,1,3,0.5,5,3,1,5.46,2,2,0.3333,5,4.97,HIGH
60,1,1,5,3,1,4.45,2,2,0.3333,6,5,0,0.0,1,5,0.0,7,2.23,HIGH
61,0,1,6,6,5,9.41,0,1,0.8333,5,5,5,8.82,0,0,1.0,1,9.12,LOW
62,1,1,5,4,3,7.72,1,1,0.75,7,7,7,6.72,0,0,1.0,1,7.22,MEDIUM
63,1,0,5,0,0,0.0,5,0,0.0,5,0,0,0.0,5,0,0.0,0,0.0,HIGH
64,0,0,5,4,3,6.92,1,1,0.75,6,5,5,7.29,1,0,1.0,1,7.11,LOW
65,1,0,7,5,0,0.0,2,5,0.0,6,4,2,5.26,2,2,0.5,7,2.63,HIGH
66,0,1,5,5,2,4.72,0,3,0.4,5,4,1,4.64,1,3,0.25,6,4.68,HIGH
67,1,1,5,4,2,7.42,1,2,0.5,5,4,2,7.24,1,2,0.5,4,7.33,MEDIUM
68,0,0,5,3,0,0.0,2,3,0.0,5,5,3,5.27,0,2,0.6,5,2.63,HIGH
69,0,1,5,5,3,7.83,0,2,0.6,5,5,4,7.09,0,1,0.8,3,7.46,MEDIUM
70,0,1,7,7,5,7.32,0,2,0.7143,6,6,6,7.49,0,0,1.0,2,7.41,LOW
71,0,1,7,6,4,7.61,1,2,0.6667,6,6,5,7.83,0,1,0.8333,3,7.72,MEDIUM
72,1,0,7,5,2,5.17,2,3,0.4,7,6,3,4.83,1,3,0.5,6,5.0,HIGH
73,0,1,6,5,3,7.43,1,2,0.6,7,6,5,6.05,1,1,0.8333,3,6.74,MEDIUM
74,0,1,5,5,5,9.6,0,0,1.0,6,6,6,9.76,0,0,1.0,0,9.68,LOW
75,1,0,7,7,0,0.0,0,7,0.0,5,3,1,4.93,2,2,0.3333,9,2.46,HIGH
76,1,1,5,5,2,4.42,0,3,0.4,7,7,2,5.26,0,5,0.2857,8,4.84,HIGH
77,0,0,7,6,5,7.34,1,1,0.8333,6,5,4,6.44,1,1,0.8,2,6.89,MEDIUM
78,0,1,5,4,3,7.38,1,1,0.75,7,6,4,7.58,1,2,0.6667,3,7.48,MEDIUM
79,0,1,5,5,5,8.03,0,0,1.0,7,7,6,8.55,0,1,0.8571,1,8.29,LOW
80,1,0,6,0,0,0.0,6,0,0.0,4,0,0,0.0,4,0,0.0,0,0.0,HIGH
81,1,0,5,3,1,4.89,2,2,0.3333,6,5,1,5.83,1,4,0.2,6,5.36,HIGH
82,1,0,4,0,0,0.0,4,0,0.0,4,0,0,0.0,4,0,0.0,0,0.0,HIGH
83,0,1,5,5,5,7.8,0,0,1.0,5,5,3,7.06,0,2,0.6,2,7.43,MEDIUM
84,0,1,6,5,2,5.63,1,3,0.4,6,5,0,0.0,1,5,0.0,8,2.81,HIGH
85,1,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,HIGH
86,1,0,5,5,1,5.05,0,4,0.2,5,5,3,4.86,0,2,0.6,6,4.96,HIGH
87,0,1,7,6,6,7.63,1,0,1.0,5,5,4,7.5,0,1,0.8,1,7.56,LOW
88,0,1,6,6,4,6.11,0,2,0.6667,6,5,4,6.24,1,1,0.8,3,6.18,MEDIUM
89,1,1,6,6,4,4.08,0,2,0.6667,6,4,1,5.15,2,3,0.25,5,4.62,HIGH
90,0,1,7,7,6,10.0,0,1,0.8571,7,7,7,9.15,0,0,1.0,1,9.57,LOW
91,0,1,7,5,3,5.74,2,2,0.6,5,3,1,5.21,2,2,0.3333,4,5.47,MEDIUM
92,1,0,5,0,0,0.0,5,0,0.0,5,0,0,0.0,5,0,0.0,0,0.0,HIGH
93,0,1,6,5,5,6.94,1,0,1.0,7,6,6,6.07,1,0,1.0,0,6.51,LOW
94,0,1,6,6,6,7.65,0,0,1.0,6,5,3,6.36,1,2,0.6,2,7.01,MEDIUM
95,1,1,5,5,2,5.04,0,3,0.4,6,5,3,4.23,1,2,0.6,5,4.63,HIGH
96,1,0,7,6,0,0.0,1,6,0.0,5,5,3,5.8,0,2,0.6,8,2.9,HIGH
97,0,1,6,5,4,6.46,1,1,0.8,7,7,6,6.36,0,1,0.8571,2,6.41,LOW
98,1,0,5,0,0,0.0,5,0,0.0,5,0,0,0.0,5,0,0.0,0,0.0,HIGH
99,1,0,4,0,0,0.0,4,0,0.0,5,0,0,0.0,5,0,0.0,0,0.0,HIGH
100,1,0,6,4,1,4.66,2,3,0.25,7,5,3,4.87,2,2,0.6,5,4.77,HIGH
