Debtor,Tuition fees up to date,1st_sem_enrolled,1st_sem_evaluations,1st_sem_approved,1st_sem_grade,1st_sem_without_evaluations,1st_sem_failed,1st_sem_pass_rate,2nd_sem_enrolled,2nd_sem_evaluations,2nd_sem_approved,2nd_sem_grade,2nd_sem_without_evaluations,2nd_sem_failed,2nd_sem_pass_rate,total_failed,avg_grade,Target
0,1,6,16,5,6.9,0,1,0.3125,6,7,5,6.2,0,1,0.7143,2,6.55,Enrolled
0,1,6,6,5,6.0,0,1,0.8333,6,6,6,6.416666666666667,0,0,1.0,1,6.2083,Graduate
0,1,6,14,4,5.75,0,2,0.2857,6,17,3,6.875,0,3,0.1765,5,6.3125,Enrolled
0,1,6,9,6,5.583333333333333,0,0,0.6667,6,11,5,6.2,0,1,0.4545,1,5.8917,Graduate
0,1,6,8,6,6.5625,0,0,0.75,6,10,6,6.6,0,0,0.6,0,6.5812,Graduate
0,1,5,5,0,0.0,0,5,0.0,5,0,0,0.0,0,5,0.0,10,0.0,Dropout
0,1,6,6,4,6.625,0,2,0.6667,6,6,0,0.0,0,6,0.0,8,3.3125,Enrolled
0,1,6,8,6,6.083333333333333,0,0,0.75,6,7,5,6.5,0,1,0.7143,1,6.2917,Graduate
0,1,6,8,5,6.0,0,1,0.625,6,8,5,6.2,0,1,0.625,2,6.1,Graduate
0,0,5,5,0,0.0,0,5,0.0,5,5,0,0.0,0,5,0.0,10,0.0,Dropout
0,1,5,9,4,5.1,0,1,0.4444,5,6,3,5.5,0,2,0.5,3,5.3,Enrolled
1,1,8,8,7,6.571428571428571,0,1,0.875,6,8,6,5.916666666666667,0,0,0.75,1,6.244,Enrolled
0,1,6,6,6,6.75,0,0,1.0,6,9,6,6.833333333333333,0,0,0.6667,0,6.7917,Graduate
0,1,6,6,6,5.666666666666667,0,0,1.0,6,8,5,6.5,0,1,0.625,1,6.0833,Graduate
0,1,6,8,6,5.833333333333333,0,0,0.75,6,6,6,6.5,0,0,1.0,0,6.1667,Graduate
0,1,6,8,6,6.5,1,0,0.75,6,9,5,6.428571428571429,0,1,0.5556,1,6.4643,Graduate
0,1,7,15,7,5.785714285714286,0,0,0.4667,6,14,2,5.5,0,4,0.1429,4,5.6429,Dropout
0,1,6,0,0,0.0,0,6,0.0,6,0,0,0.0,0,6,0.0,12,0.0,Dropout
0,1,7,7,7,6.72142857142857,0,0,1.0,8,8,7,6.885714285714286,0,1,0.875,1,6.8036,Dropout
0,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,Enrolled
0,1,6,8,6,5.916666666666667,0,0,0.75,6,11,3,6.5,0,3,0.2727,3,6.2083,Graduate
0,1,7,0,0,0.0,0,7,0.0,8,0,0,0.0,0,8,0.0,15,0.0,Dropout
1,1,6,6,6,6.5,0,0,1.0,6,7,5,5.9,0,1,0.7143,1,6.2,Dropout
0,1,6,6,0,0.0,0,6,0.0,5,5,0,0.0,0,5,0.0,11,0.0,Dropout
0,0,6,10,5,6.6,0,1,0.5,6,21,3,6.0,0,3,0.1429,4,6.3,Enrolled
0,1,5,9,4,5.625,0,1,0.4444,5,6,4,5.5,0,1,0.6667,2,5.5625,Graduate
0,1,6,8,5,6.5,0,1,0.625,6,7,5,6.3,0,1,0.7143,2,6.4,Enrolled
0,1,5,6,5,7.3,0,0,0.8333,5,5,5,7.6,0,0,1.0,0,7.45,Dropout
0,1,5,11,4,7.125,0,1,0.3636,5,7,4,6.25,0,1,0.5714,2,6.6875,Graduate
0,1,7,7,7,7.15,0,0,1.0,8,9,8,7.027777777777778,0,0,0.8889,0,7.0889,Graduate
0,1,15,15,11,5.727272727272728,0,4,0.7333,13,16,11,5.772727272727272,0,2,0.6875,6,5.75,Dropout
0,1,5,9,5,6.142857142857143,0,0,0.5556,5,8,5,6.0625,0,0,0.625,0,6.1027,Enrolled
0,1,7,8,7,7.348125,0,0,0.875,8,9,8,7.311111111111112,0,0,0.8889,0,7.3296,Graduate
0,1,5,7,2,5.0,0,3,0.2857,5,6,4,6.0,0,1,0.6667,4,5.5,Dropout
0,1,6,9,6,6.666666666666667,0,0,0.6667,6,9,4,5.75,0,2,0.4444,2,6.2083,Graduate
0,1,6,7,6,7.857142857142857,0,0,0.8571,6,7,6,7.75,0,0,0.8571,0,7.8036,Graduate
0,0,5,5,0,0.0,0,5,0.0,5,5,0,0.0,0,5,0.0,10,0.0,Dropout
0,1,6,6,6,7.083333333333333,0,0,1.0,6,8,5,6.5,0,1,0.625,1,6.7917,Graduate
0,1,6,8,4,5.875,0,2,0.5,6,12,0,0.0,0,6,0.0,8,2.9375,Dropout
0,1,5,5,0,0.0,0,5,0.0,5,5,0,0.0,0,5,0.0,10,0.0,Dropout
0,1,6,12,3,5.5,0,3,0.25,6,12,2,5.5,0,4,0.1667,7,5.5,Dropout
0,1,10,15,8,5.5,0,2,0.5333,7,16,5,5.6,0,2,0.3125,4,5.55,Enrolled
1,1,6,6,0,0.0,0,6,0.0,6,8,0,0.0,0,6,0.0,12,0.0,Dropout
0,1,6,8,6,5.583333333333333,0,0,0.75,6,7,4,6.7,0,2,0.5714,2,6.1417,Graduate
0,1,5,10,4,5.875,0,1,0.4,5,6,5,5.8,0,0,0.8333,1,5.8375,Graduate
0,1,7,7,7,6.928571428571429,0,0,1.0,7,7,7,7.142857142857143,0,0,1.0,0,7.0357,Graduate
0,1,6,7,6,7.071428571428571,0,0,0.8571,6,6,6,7.5,0,0,1.0,0,7.2857,Graduate
0,1,8,8,7,6.575714285714286,0,1,0.875,8,8,7,6.575714285714286,0,1,0.875,2,6.5757,Graduate
0,1,5,9,4,6.5,0,1,0.4444,5,8,5,6.571428571428571,0,0,0.625,1,6.5357,Graduate
0,1,6,6,6,6.333333333333333,0,0,1.0,6,6,6,6.083333333333333,0,0,1.0,0,6.2083,Graduate
0,1,7,0,0,0.0,0,7,0.0,8,0,0,0.0,0,8,0.0,15,0.0,Dropout
1,0,6,6,6,6.333333333333333,0,0,1.0,6,8,5,5.9,0,1,0.625,1,6.1167,Dropout
0,1,5,9,3,5.5,0,2,0.3333,5,8,4,6.25,1,1,0.5,3,5.875,Enrolled
1,1,5,5,0,0.0,0,5,0.0,5,5,0,0.0,5,5,0.0,10,0.0,Dropout
0,1,7,11,5,6.083333333333333,0,2,0.4545,8,14,5,7.4,0,3,0.3571,5,6.7417,Dropout
0,1,8,8,8,7.035625,0,0,1.0,8,8,8,7.035625,0,0,1.0,0,7.0356,Graduate
0,0,5,5,0,0.0,0,5,0.0,5,10,0,0.0,0,5,0.0,10,0.0,Dropout
0,1,8,8,8,6.536875,0,0,1.0,8,8,8,6.536875,0,0,1.0,0,6.5369,Graduate
0,1,6,6,6,6.333333333333333,0,0,1.0,6,6,6,5.75,0,0,1.0,0,6.0417,Graduate
0,1,6,8,5,7.7,0,1,0.625,6,7,5,6.1,0,1,0.7143,2,6.9,Graduate
0,1,7,7,6,7.016666666666666,0,1,0.8571,7,7,6,7.016666666666666,0,1,0.8571,2,7.0167,Graduate
0,1,5,8,3,5.5,0,2,0.375,5,12,4,6.6875,0,1,0.3333,3,6.0938,Enrolled
0,1,6,7,6,6.5,0,0,0.8571,6,6,6,6.833333333333333,0,0,1.0,0,6.6667,Graduate
0,1,6,7,6,7.0,0,0,0.8571,6,6,6,7.5,0,0,1.0,0,7.25,Graduate
0,1,8,8,7,7.1,0,1,0.875,8,8,7,7.1,0,1,0.875,2,7.1,Graduate
0,1,6,6,6,7.333333333333333,0,0,1.0,6,6,6,7.583333333333333,0,0,1.0,0,7.4583,Graduate
0,1,5,6,4,5.625,0,1,0.6667,5,10,3,5.857142857142857,0,2,0.3,3,5.7411,Enrolled
0,1,7,7,6,6.525,0,1,0.8571,7,7,6,6.525,0,1,0.8571,2,6.525,Graduate
0,1,6,6,5,6.3,0,1,0.8333,6,6,6,6.5,0,0,1.0,1,6.4,Graduate
0,1,7,14,5,6.439285714285715,0,2,0.3571,8,15,7,5.928125,0,1,0.4667,3,6.1837,Graduate
0,1,5,6,4,5.75,0,1,0.6667,5,12,2,5.166666666666667,0,3,0.1667,4,5.4583,Enrolled
0,1,5,5,5,6.9,0,0,1.0,5,6,5,6.0,0,0,0.8333,0,6.45,Graduate
0,1,7,18,0,0.0,0,7,0.0,7,7,0,0.0,0,7,0.0,14,0.0,Dropout
0,1,8,8,8,7.055,0,0,1.0,8,8,8,7.055,0,0,1.0,0,7.055,Graduate
0,1,8,8,8,6.713749999999999,0,0,1.0,8,8,8,6.713749999999999,0,0,1.0,0,6.7137,Graduate
0,1,6,7,6,6.666666666666667,0,0,0.8571,6,7,6,6.75,0,0,0.8571,0,6.7083,Graduate
0,1,7,8,7,6.067857142857143,0,0,0.875,8,10,7,6.664285714285714,0,1,0.7,1,6.3661,Graduate
0,1,5,5,5,6.3,0,0,1.0,5,5,5,7.0,0,0,1.0,0,6.65,Graduate
0,1,6,8,6,5.916666666666667,0,0,0.75,6,9,5,5.2,0,1,0.5556,1,5.5583,Enrolled
0,1,6,8,6,6.0,0,0,0.75,7,8,7,6.714285714285714,0,0,0.875,0,6.3571,Enrolled
0,1,7,9,7,6.65,0,0,0.7778,8,8,8,7.1725,0,0,1.0,0,6.9113,Graduate
0,1,5,8,5,6.0,0,0,0.625,5,12,2,5.25,0,3,0.1667,3,5.625,Enrolled
0,1,6,7,6,7.357142857142857,0,0,0.8571,6,7,6,7.083333333333333,0,0,0.8571,0,7.2202,Graduate
1,0,6,12,0,0.0,0,6,0.0,6,9,0,0.0,0,6,0.0,12,0.0,Dropout
0,1,6,12,4,5.75,0,2,0.3333,6,10,5,6.3,0,1,0.5,3,6.025,Graduate
0,1,5,8,3,6.0,0,2,0.375,5,9,2,5.5,1,3,0.2222,5,5.75,Enrolled
0,1,7,9,6,6.391666666666666,0,1,0.6667,8,11,0,0.0,0,8,0.0,9,3.1958,Dropout
0,1,6,6,6,6.916666666666667,0,0,1.0,6,6,6,7.5,0,0,1.0,0,7.2083,Graduate
0,0,5,8,4,6.25,1,1,0.5,5,8,5,5.9,0,0,0.625,1,6.075,Dropout
0,1,7,7,7,7.364285714285714,0,0,1.0,8,11,8,8.163636363636364,0,0,0.7273,0,7.764,Graduate
0,1,5,6,5,6.0,0,0,0.8333,5,8,5,6.071428571428571,0,0,0.625,0,6.0357,Graduate
0,1,5,7,3,6.0,0,2,0.4286,5,7,5,6.6,0,0,0.7143,2,6.3,Graduate
0,1,7,8,5,5.6,0,2,0.625,7,8,5,5.6,0,2,0.625,4,5.6,Enrolled
0,1,6,7,6,6.571428571428571,0,0,0.8571,6,8,6,7.083333333333333,0,0,0.75,0,6.8274,Graduate
0,1,6,8,6,7.6875,0,0,0.75,6,7,6,8.214285714285714,0,0,0.8571,0,7.9509,Graduate
0,1,5,10,5,5.583333333333333,0,0,0.5,5,10,3,5.4,0,2,0.3,2,5.4917,Enrolled
0,1,11,12,11,5.863636363636364,0,0,0.9167,11,14,11,6.0,0,0,0.7857,0,5.9318,Graduate
0,1,5,5,5,7.2,0,0,1.0,5,5,5,7.7,0,0,1.0,0,7.45,Graduate
0,1,5,5,0,0.0,0,5,0.0,5,9,3,6.666666666666667,2,2,0.3333,7,3.3333,Enrolled
0,1,6,9,6,5.6875,0,0,0.6667,6,6,5,6.9,0,1,0.8333,1,6.2938,Enrolled
0,1,6,6,6,6.0,0,0,1.0,6,6,6,5.916666666666667,0,0,1.0,0,5.9583,Graduate
0,1,6,7,5,7.1,0,1,0.7143,6,7,6,7.285714285714286,0,0,0.8571,1,7.1929,Graduate
1,1,6,6,0,0.0,0,6,0.0,6,6,0,0.0,0,6,0.0,12,0.0,Dropout
0,1,6,13,3,5.666666666666667,0,3,0.2308,6,12,5,5.7,0,1,0.4167,4,5.6833,Dropout
1,1,11,12,10,6.05,0,1,0.8333,8,9,8,6.666666666666667,0,0,0.8889,1,6.3583,Graduate
0,1,7,7,7,6.222142857142857,0,0,1.0,8,11,7,5.673571428571429,0,1,0.6364,1,5.9479,Graduate
0,1,7,7,5,6.53,0,2,0.7143,7,9,0,0.0,0,7,0.0,9,3.265,Enrolled
0,1,5,5,0,0.0,0,5,0.0,5,5,0,0.0,0,5,0.0,10,0.0,Dropout
0,1,5,7,3,5.666666666666667,0,2,0.4286,5,7,4,5.5,0,1,0.5714,3,5.5833,Enrolled
0,1,6,8,6,6.125,0,0,0.75,6,8,6,6.0,0,0,0.75,0,6.0625,Graduate
0,1,5,13,3,5.666666666666667,2,2,0.2308,5,12,2,5.25,1,3,0.1667,5,5.4583,Enrolled
1,0,5,5,5,6.4,0,0,1.0,5,5,4,6.0,0,1,0.8,1,6.2,Enrolled
0,1,5,5,0,0.0,0,5,0.0,5,5,0,0.0,0,5,0.0,10,0.0,Dropout
0,1,8,11,7,6.642857142857143,0,1,0.6364,7,13,5,5.8,0,2,0.3846,3,6.2214,Dropout
0,1,6,7,6,7.333333333333333,0,0,0.8571,6,12,6,6.916666666666667,0,0,0.5,0,7.125,Graduate
0,1,5,8,3,5.666666666666667,1,2,0.375,5,8,3,6.666666666666667,0,2,0.375,4,6.1667,Enrolled
0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,Dropout
0,1,5,9,2,6.0,0,3,0.2222,5,9,3,5.5,0,2,0.3333,5,5.75,Dropout
0,1,6,13,5,5.7,0,1,0.3846,6,14,4,5.875,0,2,0.2857,3,5.7875,Dropout
0,1,7,7,6,6.991666666666667,0,1,0.8571,7,7,6,6.991666666666667,0,1,0.8571,2,6.9917,Graduate
0,1,6,6,6,7.25,0,0,1.0,6,6,6,6.416666666666667,0,0,1.0,0,6.8333,Graduate
0,1,6,7,6,7.0,0,0,0.8571,6,7,6,7.0,0,0,0.8571,0,7.0,Graduate
0,1,6,8,6,6.5,0,0,0.75,6,10,6,6.3125,0,0,0.6,0,6.4062,Graduate
0,1,6,15,3,5.833333333333333,0,3,0.2,6,14,2,6.25,0,4,0.1429,7,6.0417,Dropout
0,1,6,6,6,5.833333333333333,0,0,1.0,6,8,6,5.583333333333333,0,0,0.75,0,5.7083,Graduate
0,1,6,9,4,6.125,0,2,0.4444,6,8,5,5.8,0,1,0.625,3,5.9625,Enrolled
0,0,8,14,8,7.5625,0,0,0.5714,6,12,6,6.833333333333333,0,0,0.5,0,7.1979,Enrolled
0,1,6,7,5,6.6,0,1,0.7143,6,7,5,6.8,0,1,0.7143,2,6.7,Graduate
0,1,8,8,7,7.1,0,1,0.875,8,8,7,7.1,0,1,0.875,2,7.1,Graduate
0,1,5,13,4,5.625,1,1,0.3077,5,11,4,5.25,0,1,0.3636,2,5.4375,Enrolled
0,1,5,13,3,6.0,2,2,0.2308,5,8,4,5.875,0,1,0.5,3,5.9375,Enrolled
1,0,7,8,3,6.333333333333333,0,4,0.375,5,5,0,0.0,0,5,0.0,9,3.1667,Dropout
0,1,5,9,4,7.125,0,1,0.4444,5,8,5,6.357142857142857,0,0,0.625,1,6.7411,Enrolled
1,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,Dropout
1,0,5,5,0,0.0,0,5,0.0,5,5,0,0.0,0,5,0.0,10,0.0,Dropout
0,1,8,8,7,7.402857142857143,0,1,0.875,8,8,7,7.402857142857143,0,1,0.875,2,7.4029,Graduate
1,1,6,8,5,5.8,0,1,0.625,6,12,4,5.5,0,2,0.3333,3,5.65,Enrolled
0,1,5,5,5,5.9,0,0,1.0,5,5,5,6.2,0,0,1.0,0,6.05,Graduate
1,1,5,5,0,0.0,0,5,0.0,5,5,0,0.0,0,5,0.0,10,0.0,Dropout
0,0,6,12,4,6.375,0,2,0.3333,6,15,2,5.0,0,4,0.1333,6,5.6875,Enrolled
0,1,6,9,4,5.625,1,2,0.4444,6,10,0,0.0,4,6,0.0,8,2.8125,Dropout
0,1,7,10,7,5.5,0,0,0.7,8,8,8,6.5625,0,0,1.0,0,6.0312,Graduate
0,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,Enrolled
0,1,9,13,8,6.666666666666667,0,1,0.6154,10,12,9,6.555555555555555,0,1,0.75,2,6.6111,Enrolled
0,1,7,11,5,5.7,0,2,0.4545,7,9,6,6.666666666666667,0,1,0.6667,3,6.1833,Enrolled
0,1,6,6,0,0.0,0,6,0.0,5,5,0,0.0,0,5,0.0,11,0.0,Dropout
1,0,5,5,0,0.0,1,5,0.0,5,5,0,0.0,5,5,0.0,10,0.0,Dropout
0,1,6,9,6,6.333333333333333,0,0,0.6667,6,10,4,5.75,0,2,0.4,2,6.0417,Enrolled
0,1,6,6,0,0.0,0,6,0.0,6,7,0,0.0,0,6,0.0,12,0.0,Dropout
0,1,7,7,7,6.733571428571428,0,0,1.0,8,9,8,7.505555555555556,0,0,0.8889,0,7.1196,Graduate
0,1,5,6,5,5.9,1,0,0.8333,5,8,5,5.8,0,0,0.625,0,5.85,Graduate
0,1,6,6,6,6.333333333333333,0,0,1.0,6,6,6,6.0,0,0,1.0,0,6.1667,Graduate
0,1,6,6,6,6.833333333333333,0,0,1.0,6,6,6,6.666666666666667,0,0,1.0,0,6.75,Graduate
0,1,6,14,0,0.0,0,6,0.0,6,9,4,5.5,0,2,0.4444,8,2.75,Enrolled
0,0,5,10,0,0.0,0,5,0.0,5,5,0,0.0,0,5,0.0,10,0.0,Dropout
0,1,7,8,6,7.175,0,1,0.75,8,10,6,7.291666666666667,0,2,0.6,3,7.2333,Dropout
0,1,5,8,5,6.3,0,0,0.625,5,9,4,5.8,0,1,0.4444,1,6.05,Graduate
0,1,6,0,0,0.0,0,6,0.0,6,0,0,0.0,0,6,0.0,12,0.0,Dropout
0,1,6,7,6,6.916666666666667,0,0,0.8571,6,10,6,6.857142857142857,0,0,0.6,0,6.8869,Graduate
0,1,6,6,6,6.333333333333333,0,0,1.0,6,6,6,5.916666666666667,0,0,1.0,0,6.125,Dropout
0,1,26,27,26,7.53888888888889,0,0,0.963,17,17,17,7.511764705882352,0,0,1.0,0,7.5253,Graduate
0,1,6,8,5,6.3,0,1,0.625,6,10,6,6.214285714285714,0,0,0.6,1,6.2571,Enrolled
1,0,6,8,0,0.0,0,6,0.0,6,10,0,0.0,0,6,0.0,12,0.0,Dropout
0,1,6,7,6,6.75,0,0,0.8571,6,9,5,7.0,0,1,0.5556,1,6.875,Graduate
1,1,12,13,12,7.269230769230769,0,0,0.9231,12,14,12,7.230769230769231,0,0,0.8571,0,7.25,Graduate
0,1,5,7,4,6.0,0,1,0.5714,5,5,5,6.1,0,0,1.0,1,6.05,Graduate
1,1,6,10,6,6.083333333333333,0,0,0.6,6,8,5,5.833333333333333,0,1,0.625,1,5.9583,Dropout
0,1,7,9,7,6.427777777777778,0,0,0.7778,8,8,8,6.95625,0,0,1.0,0,6.692,Graduate
1,0,5,6,2,6.25,0,3,0.3333,5,6,4,5.125,0,1,0.6667,4,5.6875,Dropout
0,1,5,7,4,7.0,0,1,0.5714,5,5,5,7.1,0,0,1.0,1,7.05,Graduate
0,1,6,8,6,6.166666666666667,0,0,0.75,6,7,5,6.2,0,1,0.7143,1,6.1833,Dropout
1,1,5,8,4,6.125,0,1,0.5,5,7,4,6.375,2,1,0.5714,2,6.25,Graduate
0,1,7,8,7,8.5625,0,0,0.875,8,8,8,8.79375,0,0,1.0,0,8.6781,Graduate
0,1,6,17,0,0.0,2,6,0.0,6,8,0,0.0,0,6,0.0,12,0.0,Dropout
0,1,6,8,6,6.928571428571429,0,0,0.75,6,15,6,6.55,0,0,0.4,0,6.7393,Graduate
0,1,6,14,5,6.833333333333333,0,1,0.3571,6,10,5,6.5,0,1,0.5,2,6.6667,Graduate
0,1,6,13,2,5.0,0,4,0.1538,6,12,4,5.375,0,2,0.3333,6,5.1875,Enrolled
0,0,5,14,4,6.75,2,1,0.2857,5,10,4,7.125,0,1,0.4,2,6.9375,Dropout
0,1,5,5,0,0.0,5,5,0.0,5,7,4,7.375,1,1,0.5714,6,3.6875,Enrolled
0,1,9,15,9,5.833333333333333,0,0,0.6,7,8,7,5.857142857142857,0,0,0.875,0,5.8452,Graduate
0,1,5,11,5,5.75,0,0,0.4545,5,9,2,5.333333333333333,0,3,0.2222,3,5.5417,Enrolled
0,1,5,7,5,6.25,0,0,0.7143,5,8,5,6.357142857142857,0,0,0.625,0,6.3036,Graduate
0,1,6,15,5,6.666666666666667,0,1,0.3333,6,15,5,6.2,0,1,0.3333,2,6.4333,Graduate
0,1,5,6,5,6.916666666666667,0,0,0.8333,5,7,5,7.7,0,0,0.7143,0,7.3083,Graduate
0,1,6,10,6,6.75,0,0,0.6,6,12,6,6.0,0,0,0.5,0,6.375,Graduate
0,1,7,10,6,5.807142857142857,0,1,0.6,8,8,8,7.01875,0,0,1.0,1,6.4129,Graduate
0,1,6,6,6,6.166666666666667,0,0,1.0,6,7,6,6.833333333333333,0,0,0.8571,0,6.5,Graduate
0,1,6,11,6,7.0625,0,0,0.5455,6,10,5,6.3,0,1,0.5,1,6.6813,Graduate
0,1,5,5,5,7.3,0,0,1.0,5,6,5,7.166666666666667,0,0,0.8333,0,7.2333,Graduate
0,1,5,10,5,7.166666666666667,2,0,0.5,5,8,5,6.5,1,0,0.625,0,6.8333,Graduate
0,1,6,9,5,5.5,0,1,0.5556,6,9,4,5.625,0,2,0.4444,3,5.5625,Dropout
0,1,6,6,6,6.75,0,0,1.0,6,7,6,6.714285714285714,0,0,0.8571,0,6.7321,Graduate
0,1,5,5,5,5.6,0,0,1.0,5,5,5,5.9,0,0,1.0,0,5.75,Graduate
0,1,7,9,7,5.838888888888888,0,0,0.7778,8,8,8,6.9,0,0,1.0,0,6.3694,Graduate
0,0,4,8,0,0.0,0,4,0.0,4,8,0,0.0,0,4,0.0,8,0.0,Dropout
0,1,7,8,7,6.5,0,0,0.875,5,5,5,6.7,0,0,1.0,0,6.6,Graduate
0,1,6,7,6,6.083333333333333,0,0,0.8571,6,6,6,6.083333333333333,0,0,1.0,0,6.0833,Graduate
0,1,7,8,6,6.625,0,1,0.75,8,8,8,6.91875,0,0,1.0,1,6.7719,Enrolled
0,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,Graduate
0,1,6,12,0,0.0,0,6,0.0,5,10,0,0.0,0,5,0.0,11,0.0,Dropout
0,1,7,7,7,7.214285714285714,0,0,1.0,8,9,8,7.255555555555556,0,0,0.8889,0,7.2349,Graduate
0,0,6,6,0,0.0,0,6,0.0,6,8,0,0.0,0,6,0.0,12,0.0,Dropout
0,1,7,7,7,6.685714285714286,0,0,1.0,8,9,8,6.833333333333333,0,0,0.8889,0,6.7595,Graduate
0,1,6,13,4,6.875,0,2,0.3077,6,8,5,5.6,0,1,0.625,3,6.2375,Enrolled
0,1,6,7,5,5.9,0,1,0.7143,6,9,4,6.0,0,2,0.4444,3,5.95,Enrolled
0,1,6,11,5,5.571428571428571,0,1,0.4545,6,8,6,6.142857142857143,0,0,0.75,1,5.8571,Graduate
0,1,6,6,6,6.0,0,0,1.0,6,7,6,6.428571428571429,0,0,0.8571,0,6.2143,Graduate
0,1,5,6,5,6.7,0,0,0.8333,5,5,5,6.2,0,0,1.0,0,6.45,Graduate
0,0,7,0,0,0.0,0,7,0.0,8,0,0,0.0,0,8,0.0,15,0.0,Dropout
0,1,7,7,6,6.666666666666667,0,1,0.8571,7,7,6,6.666666666666667,0,1,0.8571,2,6.6667,Graduate
0,1,5,5,5,6.4,0,0,1.0,5,10,5,5.722222222222222,0,0,0.5,0,6.0611,Graduate
1,0,5,11,1,5.0,0,4,0.0909,5,14,1,5.5,0,4,0.0714,8,5.25,Dropout
0,1,6,6,6,6.25,0,0,1.0,6,6,6,6.166666666666667,0,0,1.0,0,6.2083,Graduate
0,1,6,6,6,6.583333333333333,0,0,1.0,6,6,6,6.333333333333333,0,0,1.0,0,6.4583,Graduate
0,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,Enrolled
0,1,12,17,11,7.363636363636364,0,1,0.6471,9,10,7,7.071428571428571,0,2,0.7,3,7.2175,Graduate
0,1,5,11,5,5.857142857142857,2,0,0.4545,5,6,5,6.3,0,0,0.8333,0,6.0786,Graduate
1,0,5,13,4,6.75,1,1,0.3077,5,12,3,5.833333333333333,1,2,0.25,3,6.2917,Dropout
