Debtor,Tuition fees up to date,1st_sem_enrolled,1st_sem_evaluations,1st_sem_approved,1st_sem_grade,1st_sem_without_evaluations,1st_sem_failed,1st_sem_pass_rate,2nd_sem_enrolled,2nd_sem_evaluations,2nd_sem_approved,2nd_sem_grade,2nd_sem_without_evaluations,2nd_sem_failed,2nd_sem_pass_rate,total_failed,avg_grade,Target,WarningScore,WarningLevel
0,0,5,5,0,0.0,0,5,0.0,5,5,0,0.0,0,5,0.0,10,0.0,Dropout,0.7999999999999999,HIGH
0,1,6,6,6,7.083333333333333,0,0,1.0,6,8,5,0.0,0,3,0.625,3,3.5417,Graduate,0.3499992,MEDIUM
0,1,6,8,4,5.875,0,4,0.5,6,12,0,0.0,0,12,0.0,16,2.9375,Dropout,0.6895,HIGH
0,1,5,5,0,0.0,0,5,0.0,5,5,0,0.0,0,5,0.0,10,0.0,Dropout,0.7,HIGH
0,1,6,12,3,5.5,0,9,0.25,6,12,2,0.0,0,10,0.1667,19,2.75,Dropout,0.6173240000000001,HIGH
0,1,10,15,8,5.5,0,7,0.5333,7,16,5,0.0,0,11,0.3125,18,2.75,Enrolled,0.6104959999999999,HIGH
1,1,6,6,0,0.0,0,6,0.0,6,8,0,0.0,0,8,0.0,14,0.0,Dropout,0.7999999999999999,HIGH
0,1,6,8,6,5.583333333333333,0,2,0.75,6,7,4,0.0,0,3,0.5714,5,2.7917,Graduate,0.4130072,MEDIUM
0,1,5,10,4,5.875,0,6,0.4,5,6,5,0.0,0,1,0.8333,7,2.9375,Graduate,0.440836,MEDIUM
0,1,7,7,7,6.928571428571429,0,0,1.0,7,7,7,0.0,0,0,1.0,0,3.4643,Graduate,0.15685680000000002,LOW
0,1,6,7,6,7.071428571428571,0,1,0.8571,6,6,6,0.0,0,0,1.0,1,3.5357,Graduate,0.19657520000000003,LOW
0,1,8,8,7,6.575714285714286,0,1,0.875,8,8,7,0.0,0,1,0.875,2,3.2879,Graduate,0.24109039999999998,LOW
0,1,5,9,4,6.5,0,5,0.4444,5,8,5,0.0,0,3,0.625,8,3.25,Graduate,0.47644800000000004,MEDIUM
0,1,6,6,6,6.333333333333333,0,0,1.0,6,6,6,0.0,0,0,1.0,0,3.1667,Graduate,0.1639992,LOW
0,1,7,0,0,0.0,0,0,0.0,8,0,0,0.0,0,0,0.0,0,0.0,Dropout,0.4,MEDIUM
1,0,6,6,6,6.333333333333333,0,0,1.0,6,8,5,0.0,0,3,0.625,3,3.1667,Dropout,0.45899920000000005,MEDIUM
0,1,5,9,3,5.5,0,6,0.3333,5,8,4,0.0,1,4,0.5,10,2.75,Enrolled,0.5673360000000001,HIGH
1,1,5,5,0,0.0,0,5,0.0,5,5,0,0.0,5,5,0.0,10,0.0,Dropout,0.7999999999999999,HIGH
0,1,7,11,5,6.083333333333333,0,6,0.4545,8,14,5,0.0,0,9,0.3571,15,3.0417,Dropout,0.5815512,HIGH
0,1,8,8,8,7.035625,0,0,1.0,8,8,8,0.0,0,0,1.0,0,3.5178,Graduate,0.1555728,LOW
0,0,5,5,0,0.0,0,5,0.0,5,10,0,0.0,0,10,0.0,15,0.0,Dropout,0.7999999999999999,HIGH
0,1,8,8,8,6.536875,0,0,1.0,8,8,8,0.0,0,0,1.0,0,3.2684,Graduate,0.1615584,LOW
0,1,6,6,6,6.333333333333333,0,0,1.0,6,6,6,0.0,0,0,1.0,0,3.1667,Graduate,0.1639992,LOW
0,1,6,8,5,7.7,0,3,0.625,6,7,5,0.0,0,2,0.7143,5,3.85,Graduate,0.350456,MEDIUM
0,1,7,7,6,7.016666666666666,0,1,0.8571,7,7,6,0.0,0,1,0.8571,2,3.5083,Graduate,0.2386648,LOW
0,1,5,8,3,5.5,0,5,0.375,5,12,4,0.0,0,8,0.3333,13,2.75,Enrolled,0.5856760000000001,HIGH
0,1,6,7,6,6.5,0,1,0.8571,6,6,6,0.0,0,0,1.0,1,3.25,Graduate,0.20343200000000003,LOW
0,1,6,7,6,7.0,0,1,0.8571,6,6,6,0.0,0,0,1.0,1,3.5,Graduate,0.19743200000000002,LOW
0,1,8,8,7,7.1,0,1,0.875,8,8,7,0.0,0,1,0.875,2,3.55,Graduate,0.2348,LOW
0,1,6,6,6,7.333333333333333,0,0,1.0,6,6,6,0.0,0,0,1.0,0,3.6667,Graduate,0.1519992,LOW
0,1,5,6,4,5.625,0,2,0.6667,5,10,3,0.0,0,7,0.3,9,2.8125,Enrolled,0.5985039999999999,HIGH
0,1,7,7,6,6.525,0,1,0.8571,7,7,6,0.0,0,1,0.8571,2,3.2625,Graduate,0.244564,LOW
0,1,6,6,5,6.3,0,1,0.8333,6,6,6,0.0,0,0,1.0,1,3.15,Graduate,0.20773600000000003,LOW
0,1,7,14,5,6.439285714285715,0,9,0.3571,8,15,7,0.0,0,8,0.4667,17,3.2196,Graduate,0.5568256,HIGH
0,1,5,6,4,5.75,0,2,0.6667,5,12,2,0.0,0,10,0.1667,12,2.875,Enrolled,0.6643279999999999,HIGH
0,1,5,5,5,6.9,0,0,1.0,5,6,5,0.0,0,1,0.8333,1,3.45,Graduate,0.23387600000000003,LOW
0,1,7,18,0,0.0,0,18,0.0,7,7,0,0.0,0,7,0.0,25,0.0,Dropout,0.7,HIGH
0,1,8,8,8,7.055,0,0,1.0,8,8,8,0.0,0,0,1.0,0,3.5275,Graduate,0.15534,LOW
0,1,8,8,8,6.713749999999999,0,0,1.0,8,8,8,0.0,0,0,1.0,0,3.3569,Graduate,0.15943439999999998,LOW
0,1,6,7,6,6.666666666666667,0,1,0.8571,6,7,6,0.0,0,1,0.8571,2,3.3333,Graduate,0.2428648,LOW
0,1,7,8,7,6.067857142857143,0,1,0.875,8,10,7,0.0,0,3,0.7,4,3.0339,Graduate,0.3561864,MEDIUM
0,1,5,5,5,6.3,0,0,1.0,5,5,5,0.0,0,0,1.0,0,3.15,Graduate,0.16440000000000002,LOW
0,1,6,8,6,5.916666666666667,0,2,0.75,6,9,5,0.0,0,4,0.5556,6,2.9583,Enrolled,0.4434328,MEDIUM
0,1,6,8,6,6.0,0,2,0.75,7,8,7,0.0,0,1,0.875,3,3.0,Enrolled,0.28800000000000003,LOW
0,1,7,9,7,6.65,0,2,0.7778,8,8,8,0.0,0,0,1.0,2,3.325,Graduate,0.237976,LOW
0,1,5,8,5,6.0,0,3,0.625,5,12,2,0.0,0,10,0.1667,13,3.0,Enrolled,0.6563239999999999,HIGH
0,1,6,7,6,7.357142857142857,0,1,0.8571,6,7,6,0.0,0,1,0.8571,2,3.6786,Graduate,0.23457760000000002,LOW
1,0,6,12,0,0.0,0,12,0.0,6,9,0,0.0,0,9,0.0,21,0.0,Dropout,0.7999999999999999,HIGH
0,1,6,12,4,5.75,0,8,0.3333,6,10,5,0.0,0,5,0.5,13,2.875,Graduate,0.564336,HIGH
0,1,5,8,3,6.0,0,5,0.375,5,9,2,0.0,1,7,0.2222,12,3.0,Enrolled,0.6107840000000001,HIGH
0,1,7,9,6,6.391666666666666,0,3,0.6667,8,11,0,0.0,0,11,0.0,14,3.1958,Dropout,0.7033048,HIGH
0,1,6,6,6,6.916666666666667,0,0,1.0,6,6,6,0.0,0,0,1.0,0,3.4583,Graduate,0.15700080000000002,LOW
0,0,5,8,4,6.25,1,4,0.5,5,8,5,0.0,0,3,0.625,7,3.125,Dropout,0.545,MEDIUM
0,1,7,7,7,7.364285714285714,0,0,1.0,8,11,8,0.0,0,3,0.7273,3,3.6821,Graduate,0.3179856,LOW
0,1,5,6,5,6.0,0,1,0.8333,5,8,5,0.0,0,3,0.625,4,3.0,Graduate,0.37299600000000005,MEDIUM
0,1,5,7,3,6.0,0,4,0.4286,5,7,5,0.0,0,2,0.7143,6,3.0,Graduate,0.41656800000000005,MEDIUM
0,1,7,8,5,5.6,0,3,0.625,7,8,5,0.0,0,3,0.625,6,2.8,Enrolled,0.41280000000000006,MEDIUM
0,1,6,7,6,6.571428571428571,0,1,0.8571,6,8,6,0.0,0,2,0.75,3,3.2857,Graduate,0.3039952,LOW
0,1,6,8,6,7.6875,0,2,0.75,6,7,6,0.0,0,1,0.8571,3,3.8438,Graduate,0.2691808,LOW
0,1,5,10,5,5.583333333333333,0,5,0.5,5,10,3,0.0,0,7,0.3,12,2.7917,Enrolled,0.6089992000000001,HIGH
0,1,11,12,11,5.863636363636364,0,1,0.9167,11,14,11,0.0,0,3,0.7857,4,2.9318,Graduate,0.33964479999999997,MEDIUM
0,1,5,5,5,7.2,0,0,1.0,5,5,5,0.0,0,0,1.0,0,3.6,Graduate,0.15360000000000001,LOW
0,1,5,5,0,0.0,0,5,0.0,5,9,3,0.0,2,6,0.3333,11,0.0,Enrolled,0.673336,HIGH
0,1,6,9,6,5.6875,0,3,0.6667,6,6,5,0.0,0,1,0.8333,4,2.8438,Enrolled,0.33174880000000007,LOW
0,1,6,6,6,6.0,0,0,1.0,6,6,6,0.0,0,0,1.0,0,3.0,Graduate,0.168,LOW
0,1,6,7,5,7.1,0,2,0.7143,6,7,6,0.0,0,1,0.8571,3,3.55,Graduate,0.279088,LOW
1,1,6,6,0,0.0,0,6,0.0,6,6,0,0.0,0,6,0.0,12,0.0,Dropout,0.7999999999999999,HIGH
0,1,6,13,3,5.666666666666667,0,10,0.2308,6,12,5,0.0,0,7,0.4167,17,2.8333,Dropout,0.5802008,HIGH
1,1,11,12,10,6.05,0,2,0.8333,8,9,8,0.0,0,1,0.8889,3,3.025,Graduate,0.37962399999999996,MEDIUM
0,1,7,7,7,6.222142857142857,0,0,1.0,8,11,7,0.0,0,4,0.6364,4,3.1111,Graduate,0.3871416,MEDIUM
0,1,7,7,5,6.53,0,2,0.7143,7,9,0,0.0,0,9,0.0,11,3.265,Enrolled,0.707356,HIGH
0,1,5,5,0,0.0,0,5,0.0,5,5,0,0.0,0,5,0.0,10,0.0,Dropout,0.7,HIGH
0,1,5,7,3,5.666666666666667,0,4,0.4286,5,7,4,0.0,0,3,0.5714,7,2.8333,Enrolled,0.4620008,MEDIUM
0,1,6,8,6,6.125,0,2,0.75,6,8,6,0.0,0,2,0.75,4,3.0625,Graduate,0.3265,LOW
0,1,5,13,3,5.666666666666667,2,10,0.2308,5,12,2,0.0,1,10,0.1667,20,2.8333,Enrolled,0.6130208000000001,HIGH
1,0,5,5,5,6.4,0,0,1.0,5,5,4,0.0,0,1,0.8,1,3.2,Enrolled,0.34919999999999995,MEDIUM
0,1,5,5,0,0.0,0,5,0.0,5,5,0,0.0,0,5,0.0,10,0.0,Dropout,0.7,HIGH
0,1,8,11,7,6.642857142857143,0,4,0.6364,7,13,5,0.0,0,8,0.3846,12,3.3214,Dropout,0.5889664,HIGH
0,1,6,7,6,7.333333333333333,0,1,0.8571,6,12,6,0.0,0,6,0.5,7,3.6667,Graduate,0.4848512,MEDIUM
0,1,5,8,3,5.666666666666667,1,5,0.375,5,8,3,0.0,0,5,0.375,10,2.8333,Enrolled,0.5720008,HIGH
0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,Dropout,0.5,MEDIUM
0,1,5,9,2,6.0,0,7,0.2222,5,9,3,0.0,0,6,0.3333,13,3.0,Dropout,0.5835600000000001,HIGH
0,1,6,13,5,5.7,0,8,0.3846,6,14,4,0.0,0,10,0.2857,18,2.85,Dropout,0.5977560000000001,HIGH
0,1,7,7,6,6.991666666666667,0,1,0.8571,7,7,6,0.0,0,1,0.8571,2,3.4958,Graduate,0.23896480000000003,LOW
0,1,6,6,6,7.25,0,0,1.0,6,6,6,0.0,0,0,1.0,0,3.625,Graduate,0.153,LOW
0,1,6,7,6,7.0,0,1,0.8571,6,7,6,0.0,0,1,0.8571,2,3.5,Graduate,0.23886400000000002,LOW
0,1,6,8,6,6.5,0,2,0.75,6,10,6,0.0,0,4,0.6,6,3.25,Graduate,0.42400000000000004,MEDIUM
0,1,6,15,3,5.833333333333333,0,12,0.2,6,14,2,0.0,0,12,0.1429,24,2.9167,Dropout,0.6139872,HIGH
0,1,6,6,6,5.833333333333333,0,0,1.0,6,8,6,0.0,0,2,0.75,2,2.9167,Graduate,0.2999992,LOW
0,1,6,9,4,6.125,0,5,0.4444,6,8,5,0.0,0,3,0.625,8,3.0625,Enrolled,0.480948,MEDIUM
0,0,8,14,8,7.5625,0,6,0.5714,6,12,6,0.0,0,6,0.5,12,3.7812,Enrolled,0.6378191999999999,HIGH
0,1,6,7,5,6.6,0,2,0.7143,6,7,5,0.0,0,2,0.7143,4,3.3,Graduate,0.326512,LOW
0,1,8,8,7,7.1,0,1,0.875,8,8,7,0.0,0,1,0.875,2,3.55,Graduate,0.2348,LOW
0,1,5,13,4,5.625,1,9,0.3077,5,11,4,0.0,0,7,0.3636,16,2.8125,Enrolled,0.578796,HIGH
0,1,5,13,3,6.0,2,10,0.2308,5,8,4,0.0,0,4,0.5,14,3.0,Enrolled,0.569536,HIGH
1,0,7,8,3,6.333333333333333,0,5,0.375,5,5,0,0.0,0,5,0.0,10,3.1667,Dropout,0.7689992,HIGH
0,1,5,9,4,7.125,0,5,0.4444,5,8,5,0.0,0,3,0.625,8,3.5625,Enrolled,0.46894800000000003,MEDIUM
1,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,Dropout,0.5,MEDIUM
1,0,5,5,0,0.0,0,5,0.0,5,5,0,0.0,0,5,0.0,10,0.0,Dropout,0.7999999999999999,HIGH
0,1,8,8,7,7.402857142857143,0,1,0.875,8,8,7,0.0,0,1,0.875,2,3.7014,Graduate,0.2311664,LOW
1,1,6,8,5,5.8,0,3,0.625,6,12,4,0.0,0,8,0.3333,11,2.9,Enrolled,0.712076,HIGH
0,1,5,5,5,5.9,0,0,1.0,5,5,5,0.0,0,0,1.0,0,2.95,Graduate,0.16920000000000002,LOW
1,1,5,5,0,0.0,0,5,0.0,5,5,0,0.0,0,5,0.0,10,0.0,Dropout,0.7999999999999999,HIGH
0,0,6,12,4,6.375,0,8,0.3333,6,15,2,0.0,0,13,0.1333,21,3.1875,Enrolled,0.726172,HIGH
0,1,6,9,4,5.625,1,5,0.4444,6,10,0,0.0,4,10,0.0,15,2.8125,Dropout,0.6858280000000001,HIGH
0,1,7,10,7,5.5,0,3,0.7,8,8,8,0.0,0,0,1.0,3,2.75,Graduate,0.28800000000000003,LOW
0,1,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,Enrolled,0.4,MEDIUM
0,1,9,13,8,6.666666666666667,0,5,0.6154,10,12,9,0.0,0,3,0.75,8,3.3333,Enrolled,0.45076879999999997,MEDIUM
0,1,7,11,5,5.7,0,6,0.4545,7,9,6,0.0,0,3,0.6667,9,2.85,Enrolled,0.511904,MEDIUM
0,1,6,6,0,0.0,0,6,0.0,5,5,0,0.0,0,5,0.0,11,0.0,Dropout,0.7,HIGH
1,0,5,5,0,0.0,1,5,0.0,5,5,0,0.0,5,5,0.0,10,0.0,Dropout,0.7999999999999999,HIGH
0,1,6,9,6,6.333333333333333,0,3,0.6667,6,10,4,0.0,0,6,0.4,9,3.1667,Enrolled,0.5620031999999999,HIGH
0,1,6,6,0,0.0,0,6,0.0,6,7,0,0.0,0,7,0.0,13,0.0,Dropout,0.7,HIGH
0,1,7,7,7,6.733571428571428,0,0,1.0,8,9,8,0.0,0,1,0.8889,1,3.3668,Graduate,0.22030480000000002,LOW
0,1,5,6,5,5.9,1,1,0.8333,5,8,5,0.0,0,3,0.625,4,2.95,Graduate,0.3741960000000001,MEDIUM
0,1,6,6,6,6.333333333333333,0,0,1.0,6,6,6,0.0,0,0,1.0,0,3.1667,Graduate,0.1639992,LOW
0,1,6,6,6,6.833333333333333,0,0,1.0,6,6,6,0.0,0,0,1.0,0,3.4167,Graduate,0.1579992,LOW
0,1,6,14,0,0.0,0,14,0.0,6,9,4,0.0,0,5,0.4444,19,0.0,Enrolled,0.664448,HIGH
0,0,5,10,0,0.0,0,10,0.0,5,5,0,0.0,0,5,0.0,15,0.0,Dropout,0.7999999999999999,HIGH
0,1,7,8,6,7.175,0,2,0.75,8,10,6,0.0,0,4,0.6,6,3.5875,Dropout,0.4159,MEDIUM
0,1,5,8,5,6.3,0,3,0.625,5,9,4,0.0,0,5,0.4444,8,3.15,Graduate,0.5149680000000001,MEDIUM
0,1,6,0,0,0.0,0,0,0.0,6,0,0,0.0,0,0,0.0,0,0.0,Dropout,0.4,MEDIUM
0,1,6,7,6,6.916666666666667,0,1,0.8571,6,10,6,0.0,0,4,0.6,5,3.4583,Graduate,0.4018528,MEDIUM
0,1,6,6,6,6.333333333333333,0,0,1.0,6,6,6,0.0,0,0,1.0,0,3.1667,Dropout,0.1639992,LOW
0,1,26,27,26,7.53888888888889,0,1,0.963,17,17,17,0.0,0,0,1.0,1,3.7694,Graduate,0.18249439999999997,LOW
0,1,6,8,5,6.3,0,3,0.625,6,10,6,0.0,0,4,0.6,7,3.15,Enrolled,0.4414,MEDIUM
1,0,6,8,0,0.0,0,8,0.0,6,10,0,0.0,0,10,0.0,18,0.0,Dropout,0.7999999999999999,HIGH
0,1,6,7,6,6.75,0,1,0.8571,6,9,5,0.0,0,4,0.5556,5,3.375,Graduate,0.416284,MEDIUM
1,1,12,13,12,7.269230769230769,0,1,0.9231,12,14,12,0.0,0,2,0.8571,3,3.6346,Graduate,0.37355359999999993,MEDIUM
0,1,5,7,4,6.0,0,3,0.5714,5,5,5,0.0,0,0,1.0,3,3.0,Graduate,0.292288,LOW
1,1,6,10,6,6.083333333333333,0,4,0.6,6,8,5,0.0,0,3,0.625,7,3.0417,Dropout,0.5389992,MEDIUM
0,1,7,9,7,6.427777777777778,0,2,0.7778,8,8,8,0.0,0,0,1.0,2,3.2139,Graduate,0.24064239999999998,LOW
1,0,5,6,2,6.25,0,4,0.3333,5,6,4,0.0,0,2,0.6667,6,3.125,Dropout,0.525,MEDIUM
0,1,5,7,4,7.0,0,3,0.5714,5,5,5,0.0,0,0,1.0,3,3.5,Graduate,0.280288,LOW
0,1,6,8,6,6.166666666666667,0,2,0.75,6,7,5,0.0,0,2,0.7143,4,3.0833,Dropout,0.3359968,MEDIUM
1,1,5,8,4,6.125,0,4,0.5,5,7,4,0.0,2,3,0.5714,7,3.0625,Graduate,0.5507879999999999,MEDIUM
0,1,7,8,7,8.5625,0,1,0.875,8,8,8,0.0,0,0,1.0,1,4.2812,Graduate,0.1772512,LOW
0,1,6,17,0,0.0,2,17,0.0,6,8,0,0.0,0,8,0.0,25,0.0,Dropout,0.7,HIGH
0,1,6,8,6,6.928571428571429,0,2,0.75,6,15,6,0.0,0,9,0.4,11,3.4643,Graduate,0.5948568,HIGH
0,1,6,14,5,6.833333333333333,0,9,0.3571,6,10,5,0.0,0,5,0.5,14,3.4167,Graduate,0.5494312,MEDIUM
0,1,6,13,2,5.0,0,11,0.1538,6,12,4,0.0,0,8,0.3333,19,2.5,Enrolled,0.601032,HIGH
